symbol,date,month,year,open,close,low,high,volume,return,daily_return,cum_return,sector
HDFCBANK,2024-03-28 05:30:00,2024-03,2024,1440.7,1447.9,1440.7,1460.5,27796071,0.004997570625390467,0.004997570625390413,0.9601140545737871,BANKING
HDFCBANK,2024-04-01 05:30:00,2024-04,2024,1458.0,1470.5,1455.6,1473.8,12599785,0.008573388203017833,0.015608812763312274,0.9751002950830538,BANKING
HDFCBANK,2024-04-02 05:30:00,2024-04,2024,1465.15,1480.15,1463.25,1494.85,20612723,0.010237859604818619,0.006562393743624773,0.9814992871589135,BANKING
HDFCBANK,2024-04-03 05:30:00,2024-04,2024,1472.1,1482.3,1471.4,1495.65,22792193,0.006928877114326504,0.0014525554842412802,0.9829249693312552,BANKING
HDFCBANK,2024-04-04 05:30:00,2024-04,2024,1504.0,1527.6,1504.0,1530.0,44467533,0.015691489361702067,0.030560615260068813,1.0129637611485025,BANKING
HDFCBANK,2024-04-05 05:30:00,2024-04,2024,1539.0,1549.55,1530.15,1554.5,29527951,0.006855100714749808,0.014368944749934665,1.0275189814661314,BANKING
HDFCBANK,2024-04-08 05:30:00,2024-04,2024,1554.95,1546.6,1541.55,1557.25,10241470,-0.005369947586739211,-0.0019037785163434906,1.025562812904081,BANKING
HDFCBANK,2024-04-09 05:30:00,2024-04,2024,1554.85,1548.55,1540.3,1554.85,10942247,-0.0040518377978582855,0.001260830208198671,1.0268558734789957,BANKING
HDFCBANK,2024-04-10 05:30:00,2024-04,2024,1549.9,1536.35,1532.95,1549.9,13903700,-0.008742499516097929,-0.007878337799877344,1.0187659560359401,BANKING
HDFCBANK,2024-04-12 05:30:00,2024-04,2024,1521.0,1518.95,1513.45,1529.85,20542104,-0.0013477975016436257,-0.011325544309564783,1.007227877059779,BANKING
HDFCBANK,2024-04-15 05:30:00,2024-04,2024,1497.55,1494.7,1492.05,1510.0,11707624,-0.0019031084104035986,-0.015964975805655257,0.991147508371738,BANKING
HDFCBANK,2024-04-16 05:30:00,2024-04,2024,1487.0,1509.25,1482.25,1512.9,10372443,0.01496301277740417,0.00973439486184513,1.0007957295845624,BANKING
HDFCBANK,2024-04-18 05:30:00,2024-04,2024,1509.8,1494.7,1491.05,1518.85,17117442,-0.01000132467876534,-0.009640549942024124,0.9911475083717379,BANKING
HDFCBANK,2024-04-19 05:30:00,2024-04,2024,1486.55,1531.3,1480.25,1534.95,17288217,0.030103259224378596,0.02448651903391985,1.0154172607009047,BANKING
HDFCBANK,2024-04-22 05:30:00,2024-04,2024,1557.4,1512.2,1508.3,1557.4,21149219,-0.029022730191344576,-0.01247306210409449,1.0027518981466128,BANKING
HDFCBANK,2024-04-23 05:30:00,2024-04,2024,1526.3,1507.6,1503.25,1526.5,13413530,-0.012251850881216043,-0.003041925671207646,0.9997016014057885,BANKING
HDFCBANK,2024-04-24 05:30:00,2024-04,2024,1515.0,1511.7,1509.05,1521.75,11220790,-0.002178217821782148,0.002719554258424184,1.002420344153045,BANKING
HDFCBANK,2024-04-25 05:30:00,2024-04,2024,1506.25,1510.75,1506.25,1519.7,17722602,0.002987551867219917,-0.0006284315671098994,1.0017903915652662,BANKING
HDFCBANK,2024-04-26 05:30:00,2024-04,2024,1519.8,1509.8,1505.55,1528.0,12427347,-0.006579813133307014,-0.0006288267416846294,1.0011604389774873,BANKING
HDFCBANK,2024-04-29 05:30:00,2024-04,2024,1515.0,1529.5,1506.55,1534.45,18046675,0.00957095709570957,0.013048085839183932,1.0142236663240607,BANKING
HDFCBANK,2024-04-30 05:30:00,2024-04,2024,1529.2,1520.1,1514.9,1539.5,26153691,-0.005950823960240738,-0.006145799280810826,1.0079904512449849,BANKING
HDFCBANK,2024-05-02 05:30:00,2024-05,2024,1522.0,1532.25,1520.35,1537.0,16737503,0.006734559789750329,0.00799289520426294,1.0160472132886837,BANKING
HDFCBANK,2024-05-03 05:30:00,2024-05,2024,1533.25,1519.6,1507.2,1540.6,15932621,-0.008902657753138817,-0.008255832925436524,1.007658897251417,BANKING
HDFCBANK,2024-05-06 05:30:00,2024-05,2024,1522.0,1522.65,1517.15,1534.5,14396698,0.00042706964520373915,0.0020071071334561985,1.009681376612181,BANKING
HDFCBANK,2024-05-07 05:30:00,2024-05,2024,1521.95,1506.15,1504.15,1524.05,14240301,-0.010381418574854598,-0.01083637080090627,0.9987400948244419,BANKING
HDFCBANK,2024-05-08 05:30:00,2024-05,2024,1495.95,1482.65,1480.35,1496.95,20843931,-0.008890671479661723,-0.015602695614646667,0.9831570571267528,BANKING
HDFCBANK,2024-05-09 05:30:00,2024-05,2024,1474.95,1447.5,1445.3,1486.75,23140639,-0.018610800366114136,-0.02370755066940955,0.9598488113789327,BANKING
HDFCBANK,2024-05-10 05:30:00,2024-05,2024,1439.0,1437.9,1426.8,1451.95,13638304,-0.0007644197359276644,-0.006632124352331514,0.95348297470243,BANKING
HDFCBANK,2024-05-13 05:30:00,2024-05,2024,1432.0,1455.25,1430.3,1459.8,13523601,0.01623603351955307,0.012066207663954387,0.9649878982792345,BANKING
HDFCBANK,2024-05-14 05:30:00,2024-05,2024,1452.25,1460.95,1450.3,1465.5,12832571,0.005990704079876086,0.003916852774437318,0.9687676138059079,BANKING
HDFCBANK,2024-05-15 05:30:00,2024-05,2024,1459.7,1438.5,1435.8,1459.7,19465998,-0.014523532232650575,-0.015366713439885049,0.9538808394947114,BANKING
HDFCBANK,2024-05-16 05:30:00,2024-05,2024,1446.05,1460.25,1435.5,1462.55,17472618,0.009819854085266793,0.015119916579770631,0.9683034382149129,BANKING
HDFCBANK,2024-05-17 05:30:00,2024-05,2024,1446.2,1464.1,1446.2,1468.0,10460095,0.012377264555386435,0.0026365348399246535,0.9708564039653854,BANKING
HDFCBANK,2024-05-18 05:30:00,2024-05,2024,1466.0,1466.05,1463.05,1467.1,528557,3.410641200542601e-05,0.0013318762379619375,0.9721494645403,BANKING
HDFCBANK,2024-05-21 05:30:00,2024-05,2024,1450.1,1458.8,1450.1,1469.7,21884989,0.005999586235432071,-0.004945261075679497,0.9673419316335662,BANKING
